Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402_1005Metric",149.400000,-62.850000,-90.000000,top
"C2","0.1uF","C_0402_1005Metric",144.400000,-56.400000,-90.000000,top
"C3","0.1uF","C_0402_1005Metric",149.400000,-64.700000,90.000000,top
"C4","0.1uF","C_0402_1005Metric",145.350000,-57.350000,90.000000,top
"C5","0.1uF","C_0402_1005Metric",152.650000,-40.650000,0.000000,top
"C6","uF","C_0402_1005Metric",152.092547,-45.300000,0.000000,top
"C7","uF","C_0402_1005Metric",160.020000,-41.600000,180.000000,top
"C8","4.7uF","C_0402_1005Metric",160.250000,-67.150000,0.000000,top
"C9","4.7uF","C_0402_1005Metric",155.700000,-61.700000,180.000000,top
"C10","560pF","C_0402_1005Metric",157.100000,-62.100000,-90.000000,top
"C11","500nF","C_0402_1005Metric",158.400000,-68.400000,0.000000,top
"C12","0.1uF","C_0402_1005Metric",162.800000,-40.300000,180.000000,top
"C13","0.1uF","C_0402_1005Metric",146.100000,-47.100000,90.000000,top
"D1","D","D_0402_1005Metric",155.632500,-40.100000,180.000000,top
"D4","LED_Dual_KAKA","SB0603WC01-RG",152.450000,-64.725000,-90.000000,top
"IC1","MIC23050-SYML-TR","SON50P200X200X90-9N-D",159.450000,-65.000000,-90.000000,top
"IC2","RT9527GQW","SON50P200X200X80-9N",156.875000,-66.300000,-90.000000,top
"IC3","LM324QT","QFN50P300X300X100-17N",156.292547,-43.700000,90.000000,top
"J1","GSB1C41110SSHR","GSB1C41110SSHR",154.500000,-74.100000,0.000000,top
"L1","L","L_0805_2012Metric",159.350000,-62.100000,0.000000,top
"R1","4.7M","R_0402_1005Metric",154.150000,-40.550000,-90.000000,top
"R2","1M","R_0402_1005Metric",150.642547,-42.910000,-90.000000,top
"R3","1M","R_0402_1005Metric",148.100000,-47.100000,90.000000,top
"R4","1M","R_0402_1005Metric",147.100000,-47.100000,90.000000,top
"R5","12K","R_0402_1005Metric",150.642547,-44.810000,-90.000000,top
"R6","1M","R_0402_1005Metric",152.650000,-43.600000,180.000000,top
"R7","4.7M","R_0402_1005Metric",152.650000,-41.650000,0.000000,top
"R8","390k","R_0402_1005Metric",152.650000,-42.600000,0.000000,top
"R9","12K","R_0402_1005Metric",160.040000,-40.600000,0.000000,top
"R10","1M","R_0402_1005Metric",160.040000,-39.600000,0.000000,top
"R11","4.7M","R_0402_1005Metric",157.950000,-40.600000,90.000000,top
"R12","5.1k","R_0402_1005Metric",151.775000,-68.550000,180.000000,top
"R13","5.1k","R_0402_1005Metric",154.475000,-68.500000,180.000000,top
"R14","4k","R_0402_1005Metric",160.250000,-68.100000,180.000000,top
"R15","300","R_0402_1005Metric",154.175000,-66.975000,90.000000,top
"R16","300","R_0402_1005Metric",155.125000,-66.975000,90.000000,top
"R17","390k","R_0402_1005Metric",147.100000,-49.900000,90.000000,top
"R18","390k","R_0402_1005Metric",148.100000,-49.900000,90.000000,top
"R19","10k","R_0402_1005Metric",162.800000,-41.300000,0.000000,top
"R20","10k","R_0402_1005Metric",145.100000,-47.100000,90.000000,top
"S1","EVP-AWBD4A","EVPAWBD4A",162.700000,-43.800000,180.000000,top
"S2","EVP-AWBD4A","EVPAWBD4A",146.500000,-43.200000,90.000000,top
"U1","ESP32-C3-MINI-1-H4X","ESP32C3MINI1H4X",157.950000,-53.500000,-90.000000,top
"U3","DRV8837C","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",151.150000,-63.150000,90.000000,top
"U4","DRV8837C","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",147.100000,-56.850000,90.000000,top
